"STATE","FACILITY_NAME","ORISPL_CODE","UNITID","OP_DATE","SUM_OP_TIME","COUNT_OP_TIME","GLOAD","SLOAD","SO2_MASS","SO2_RATE","NOX_RATE","NOX_MASS","CO2_MASS","CO2_RATE","HEAT_INPUT"
"AL","Gadsden","7","1","10-01-1995","24","24","862","","16.546","2.677",".562","3.451","1266.3",".103","12354.4"
"AL","Gadsden","7","1","10-02-1995","24","24","1029","","19.178","2.68",".579","4.157","1464.6",".103","14286.8"
"AL","Gadsden","7","1","10-03-1995","24","24","951","","18.272","2.748",".609","4.043","1363",".102","13297.2"
"AL","Gadsden","7","1","10-04-1995","24","24","811","","15.465","2.628",".598","3.506","1205.1",".103","11755.9"
"AL","Gadsden","7","1","10-05-1995","1.25","2","32","",".571","2.64",".687",".14","45.125",".103","440.1"
"AL","Gadsden","7","1","10-06-1995","0","0","","","","","","","","",""
"AL","Gadsden","7","1","10-07-1995","0","0","","","","","","","","",""
"AL","Gadsden","7","2","10-01-1995","5.25","6","0","","0","0",".025",".01","72.4",".102","707.65"
"AL","Gadsden","7","2","10-02-1995","24","24","1025","","16.63","2.316",".395","2.73","1281.9",".102","12506.2"
"AL","Gadsden","7","2","10-03-1995","24","24","982","","15.285","2.729",".552","3.039","1149.4",".102","11214.7"
"AL","Gadsden","7","2","10-04-1995","24","24","795","","11.352","2.366",".545","2.609","985.2",".103","9612.8"
"AL","Gadsden","7","2","10-05-1995","23.75","24","1091","","19.062","2.558",".452","3.353","1510.25",".103","14728.95"
"AL","Gadsden","7","2","10-06-1995","24","24","990","","18.583","2.591",".487","3.494","1471.1",".103","14346.6"
"AL","Gadsden","7","2","10-07-1995","24","24","975","","18.429","2.661",".46","3.19","1420.5",".103","13855.9"
"AL","E C Gaston","26","1","10-01-1995","24","24","3450","","30.909","1.655",".358","6.634","3643.269",".103","35514.5"
"AL","E C Gaston","26","1","10-02-1995","24","24","4773","","35.555","1.546",".381","9.146","4822.796",".103","47009.6"
"AL","E C Gaston","26","1","10-03-1995","24","24","4458","","28.224","1.276",".385","8.622","4520.386",".103","44062.5"
"AL","E C Gaston","26","1","10-04-1995","24","24","2413","","14.312","1.122",".388","4.998","2615.078",".103","25491.7"
"AL","E C Gaston","26","1","10-05-1995","24","24","4022","","24.934","1.233",".378","7.868","4106.084",".103","40025.4"
"AL","E C Gaston","26","1","10-06-1995","24","24","3356","","26.648","1.451",".344","6.396","3800.23",".103","37043.1"
"AL","E C Gaston","26","1","10-07-1995","24","24","1934","","18.007","1.487",".339","4.159","2489.053",".103","24264.4"
"AL","E C Gaston","26","2","10-01-1995","24","24","3336","","29.814","1.655",".358","6.414","3526.831",".103","34379.5"
"AL","E C Gaston","26","2","10-02-1995","24","24","4692","","34.962","1.546",".381","8.995","4743.904",".103","46240.6"
"AL","E C Gaston","26","2","10-03-1995","24","24","4418","","28.061","1.276",".385","8.546","4493.014",".103","43795.7"
"AL","E C Gaston","26","2","10-04-1995","24","24","2569","","15.181","1.122",".388","5.305","2777.422",".103","27074.1"
"AL","E C Gaston","26","2","10-05-1995","24","24","3983","","24.767","1.233",".378","7.782","4069.816",".103","39671.8"
"AL","E C Gaston","26","2","10-06-1995","24","24","3557","","28.129","1.451",".344","6.758","4017.97",".103","39165.5"
"AL","E C Gaston","26","2","10-07-1995","24","24","2013","","18.658","1.487",".339","4.322","2579.847",".103","25149.6"
"AL","E C Gaston","26","3","10-01-1995","24","24","4028","","34.151","1.635",".405","8.046","4097.248",".103","39939.5"
"AL","E C Gaston","26","3","10-02-1995","24","24","5264","","40.136","1.571",".394","10.077","5269.967",".103","51368.1"
"AL","E C Gaston","26","3","10-03-1995","24","24","5017","","32.156","1.329",".386","9.339","4952.973",".103","48279.6"
"AL","E C Gaston","26","3","10-04-1995","24","24","3293","","18.311","1.171",".416","6.488","3210.499",".103","31295.2"
"AL","E C Gaston","26","3","10-05-1995","1.5","2","81","",".502","1.236",".5",".198","82.888",".103","808.309"
"AL","E C Gaston","26","3","10-06-1995","0","0","","","","","","","","",""
"AL","E C Gaston","26","3","10-07-1995","0","0","","","","","","","","",""
"AL","E C Gaston","26","4","10-01-1995","24","24","3682","","31.169","1.635",".405","7.362","3748.152",".103","36536.6"
"AL","E C Gaston","26","4","10-02-1995","24","24","4888","","37.228","1.571",".394","9.354","4891.733",".103","47681.3"
"AL","E C Gaston","26","4","10-03-1995","24","24","4640","","29.75","1.329",".386","8.635","4581.027",".103","44654"
"AL","E C Gaston","26","4","10-04-1995","24","24","3048","","16.952","1.171",".416","6.005","2972.001",".103","28970.4"
"AL","E C Gaston","26","4","10-05-1995","24","24","4164","","20.782","1.295",".424","6.506","3400.012",".103","33147.691"
"AL","E C Gaston","26","4","10-06-1995","24","24","3466","","20.917","1.583",".398","5.124","2766.3",".103","26975.6"
"AL","E C Gaston","26","4","10-07-1995","24","24","2365","","13.739","1.767",".437","3.453","1662",".103","16208"
"AL","E C Gaston","26","5","10-01-1995","24","24","14447","","91.064","1.66",".435","22.421","10913.3",".103","106376.2"
"AL","E C Gaston","26","5","10-02-1995","24","24","17304","","93.674","1.582",".574","34.092","12231.5",".103","119226.3"
"AL","E C Gaston","26","5","10-03-1995","24","24","16385","","79.435","1.305",".561","32.695","12473.2",".103","121580.2"
"AL","E C Gaston","26","5","10-04-1995","24","24","12610","","51.371","1.111",".618","26.968","9486.6",".103","92471.1"
"AL","E C Gaston","26","5","10-05-1995","24","24","14773","","72.689","1.218",".61","33.346","12062.9",".103","117584.1"
"AL","E C Gaston","26","5","10-06-1995","24","24","13740","","84.79","1.481",".506","27.96","11728.7",".103","114326.9"
"AL","E C Gaston","26","5","10-07-1995","24","24","10386","","65.076","1.587",".615","24.918","8399.5",".103","81877.9"
"AL","Colbert","47","1","10-01-1995","24","24","3214","","27.453","1.608",".436","7.383","3700.7",".109","33836.078"
"AL","Colbert","47","1","10-02-1995","24","24","4098","","32.675","1.533",".42","8.885","4680.782",".109","42797.656"
"AL","Colbert","47","1","10-03-1995","24","24","3868","","30.566","1.523",".428","8.589","4383.469",".109","40078.924"
"AL","Colbert","47","1","10-04-1995","24","24","3392","","26.747","1.532",".426","7.499","3814.223",".109","34873.593"
"AL","Colbert","47","1","10-05-1995","24","24","3402","","26.927","1.523",".424","7.529","3842.756",".109","35134.923"
"AL","Colbert","47","1","10-06-1995","24","24","3394","","25.654","1.469",".423","7.502","3816.053",".109","34890.673"
"AL","Colbert","47","1","10-07-1995","24","24","2615","","19.388","1.427",".416","5.705","2976.931",".109","27218.762"
"AL","Colbert","47","2","10-01-1995","24","24","4441","","37.97","1.608",".436","10.296","5169.206",".109","47262.888"
"AL","Colbert","47","2","10-02-1995","24","24","4420","","35.585","1.533",".42","9.757","5075.403",".109","46405.835"
"AL","Colbert","47","2","10-03-1995","24","24","4429","","35.067","1.523",".428","9.858","5035.86",".109","46043.813"
"AL","Colbert","47","2","10-04-1995","24","24","4473","","35.6","1.532",".426","9.896","5083.35",".109","46476.968"
"AL","Colbert","47","2","10-05-1995","24","24","4524","","36.011","1.523",".424","10.016","5172.407",".109","47292.036"
"AL","Colbert","47","2","10-06-1995","24","24","4393","","33.626","1.469",".423","9.668","5009.153",".109","45799.54"
"AL","Colbert","47","2","10-07-1995","24","24","4113","","30.958","1.427",".416","9.024","4745.589",".109","43390.023"
"AL","Colbert","47","3","10-01-1995","24","24","3131","","26.936","1.608",".436","7.265","3621.532",".109","33112.223"
"AL","Colbert","47","3","10-02-1995","24","24","3904","","31.291","1.533",".42","8.524","4472.277",".109","40891.238"
"AL","Colbert","47","3","10-03-1995","24","24","3780","","29.973","1.523",".428","8.449","4298.649",".109","39303.254"
"AL","Colbert","47","3","10-04-1995","24","24","3780","","29.94","1.532",".426","8.383","4267.972",".109","39022.142"
"AL","Colbert","47","3","10-05-1995","24","24","3463","","27.45","1.523",".424","7.666","3917.976",".109","35822.693"
"AL","Colbert","47","3","10-06-1995","24","24","3187","","24.152","1.469",".423","7.065","3594.355",".109","32863.739"
"AL","Colbert","47","3","10-07-1995","24","24","2728","","20.334","1.427",".416","5.98","3119.678",".109","28523.905"
"AL","Colbert","47","4","10-01-1995","24","24","3098","","26.63","1.607",".436","7.173","3578.961",".109","32723.008"
"AL","Colbert","47","4","10-02-1995","24","24","3434","","27.509","1.533",".42","7.516","3930.939",".109","35941.671"
"AL","Colbert","47","4","10-03-1995","24","24","4030","","31.858","1.523",".428","8.972","4572.32",".109","41805.606"
"AL","Colbert","47","4","10-04-1995","24","24","3615","","28.642","1.532",".426","8.02","4082.355",".109","37325.095"
"AL","Colbert","47","4","10-05-1995","24","24","3373","","26.751","1.523",".424","7.475","3816.564",".109","34895.45"
"AL","Colbert","47","4","10-06-1995","24","24","3204","","24.248","1.469",".423","7.097","3606.434",".109","32974.149"
"AL","Colbert","47","4","10-07-1995","24","24","2748","","20.471","1.427",".416","6.024","3141.104",".109","28719.813"
"AL","Colbert","47","5","10-01-1995","24","24","11212","","149.936","2.975",".428","21.648","10868.1",".108","100789.7"
"AL","Colbert","47","5","10-02-1995","24","24","11113","","154.634","3.081",".417","20.967","10822.5",".108","100366.4"
"AL","Colbert","47","5","10-03-1995","24","24","11819","","157.724","2.999",".463","24.37","11342.6",".108","105188.2"
"AL","Colbert","47","5","10-04-1995","24","24","11958","","158.871","3.012",".461","24.344","11377.2",".108","105507.9"
"AL","Colbert","47","5","10-05-1995","24","24","11710","","160.397","3.102",".447","23.183","11149",".108","103390.1"
"AL","Colbert","47","5","10-06-1995","24","24","11457","","156.891","3.107",".461","23.316","10893.3",".108","101019.3"
"AL","Colbert","47","5","10-07-1995","24","24","10665","","147.295","3.14",".441","20.728","10118.9",".108","93839.2"
"AL","Charles R Lowman","56","2","10-01-1995","24","24","5567","","19.717",".642",".61","18.691","6279.7",".103","61207.1"
"AL","Charles R Lowman","56","2","10-02-1995","24","24","5552","","21.068",".689",".618","18.859","6252.9",".103","60942.8"
"AL","Charles R Lowman","56","2","10-03-1995","24","24","5372","","19.519",".659",".611","17.904","5988.8",".103","58369.5"
"AL","Charles R Lowman","56","2","10-04-1995","24","24","4475","","19.796",".834",".599","14.586","4939.6",".103","48143"
"AL","Charles R Lowman","56","2","10-05-1995","24","24","3884","","15.53",".725",".588","12.654","4377.5",".103","42663"
"AL","Charles R Lowman","56","2","10-06-1995","20","20","3067","","9.41",".531",".56","9.626","3486.8",".103","33985.3"
"AL","Charles R Lowman","56","2","10-07-1995","0","0","","","","","","","","",""
"AL","Charles R Lowman","56","3","10-01-1995","24","24","5201","","8.726",".304",".514","14.745","5887.8",".103","57385.9"
"AL","Charles R Lowman","56","3","10-02-1995","24","24","5171","","9.488",".329",".522","14.965","5883",".103","57338.3"
"AL","Charles R Lowman","56","3","10-03-1995","24","24","5055","","9.478",".339",".531","14.743","5705.3",".103","55607.9"
"AL","Charles R Lowman","56","3","10-04-1995","24","24","4076","","13.202",".661",".562","12.054","4433.6",".103","43210.3"
"AL","Charles R Lowman","56","3","10-05-1995","24","24","3482","","8.876",".503",".575","10.686","3848.2",".103","37507.4"
"AL","Charles R Lowman","56","3","10-06-1995","24","24","3908","","7.14",".329",".533","11.275","4332.8",".103","42227.1"
"AL","Charles R Lowman","56","3","10-07-1995","24","24","3847","","6.328",".298",".541","11.321","4291",".103","41821.3"
"AL","Colbert","47","4","10-11-1995","24","24","3657","","31.343","1.643",".43","8.244","4206.698",".109","38463.182"
"AL","Colbert","47","4","10-12-1995","24","24","3840","","35.567","1.767",".432","8.635","4399.16",".109","40221.982"
"AL","Colbert","47","4","10-13-1995","24","24","3499","","31.187","1.709",".415","7.563","3986.393",".109","36448.453"
"AL","Colbert","47","4","10-14-1995","24","24","3099","","25.166","1.574",".426","6.95","3511.037",".109","32101.803"
"AL","Colbert","47","5","10-08-1995","24","24","10082","","139.261","3.182",".447","19.56","9439",".108","87534.1"
"AL","Colbert","47","5","10-09-1995","24","24","10711","","148.52","3.208",".444","20.545","9976.5",".108","92519.7"
"AL","Colbert","47","5","10-10-1995","24","24","11089","","153.735","3.184",".441","21.346","10423.5",".108","96662.4"
"AL","Colbert","47","5","10-11-1995","24","24","11538","","144.416","2.868",".448","22.653","10885.2",".108","100947.9"
"AL","Colbert","47","5","10-12-1995","24","24","11292","","143.288","2.883",".434","21.61","10717.5",".108","99387.7"
"AL","Colbert","47","5","10-13-1995","24","24","11350","","146.346","2.903",".436","22.012","10869.6",".108","100801.1"
"AL","Colbert","47","5","10-14-1995","24","24","11500","","147.087","2.903",".432","21.929","10927.5",".108","101337.1"
